type,subType,path,name,weight,condition,recipe,option,info
Misc,matrial,Base/Miscs/ElectronicsScrap.png,ElectronicsScrap,0.1,1,,,발전기를 수리할 때 사용합니다
Misc,matrial,Base/Miscs/Battery.png,Battery,0.1,50,,,
Misc,matrial,Base/Miscs/Sheet.png,Sheet,1,1,SheetRope,,
Misc,matrial,Base/Miscs/SheetRope.png,SheetRope,0.8,1,Sheet,,
Misc,junk,Base/Miscs/TinCanEmpty.png,TinCanEmpty,0.2,1,,,
Misc,misc,Base/Miscs/ToiletPaper.png,ToiletPaper,0.1,1,,,
Misc,matrial,Base/Miscs/Thread.png,Thread,0.1,20,,,옷을 수선할 때 사용됩니다
Misc,box,Base/Miscs/Garbagebag_box.png,Garbagebagbox,1,5,Garbagebag20,,상자에서 비닐을 뜯을 수 있습니다.
Misc,matrial,Base/Miscs/Garbagebag.png,Garbagebag,0.1,,,,비닐을 활용한 아이템을 만들 때 사용합니다
Misc,wood,Base/Miscs/Plank.png,Plank,3,,,,
Misc,wood,Base/Miscs/Logs.png,Logs,9,,Plank,needTool:Handsaw,
Misc,wood,Base/Miscs/Logs2.png,Logs2,6,,Logs2,,
Misc,wood,Base/Miscs/Logs3.png,Logs3,9,,Logs3,,
Misc,wood,Base/Miscs/Logs4.png,Logs4,12,,Logs4,,
Misc,matrial,Base/Miscs/Nails.png,Nails,0.1,20,,,
FirstAid,bandage,Base/Miscs/Bandage.png,Bandage,0.1,1,,,
FirstAid,bandage,Base/Miscs/Bandaid.png,Bandaid,0.1,1,,,
FirstAid,bandage,Base/Miscs/Rag.png,Rag,0.1,1,,,옷을 기우거나 붕대 대용으로 사용할 수 있습니다.
FluidContainer,bleach,Base/Miscs/Bleach.png,Bleach,0.1,10,,,경고!! 락스는 마시면 고통스럽게 죽습니다.;절대 따라하지 마세요!!
FluidContainer,water,Base/Miscs/WaterBottle.png,WaterBottle,0.1,10,,,
FluidContainer,water,Base/Miscs/PopBottle.png,PopBottle,0.1,20,,,
FluidContainer,gasoline,Base/Miscs/Petrol.png,GasCan,1.6,100,,,
Accessory,watch,Base/Miscs/DigitalWatch_Black.png,DigitalWatch,0.1,1,DigitalWatch,,
Accessory,watch,Base/Miscs/DigitalWatch_Red.png,DigitalWatch_red,0.1,1,DigitalWatch,,
Accessory,watch,Base/Miscs/DigitalWatch_Fancy.png,DigitalWatch_fancy,0.1,1,DigitalWatch,,
Tool,tailoring,Base/Tools/Needle.png,Needle,0.01,1,,,
Tool,carpentry,Base/Tools/Handsaw.png,Handsaw,0.7,10,,,통나무를 자르는 데 필요합니다.
Furniture,generator,Base/Furniture/Generator.png,generator,40,100,,needItem:gasoline;repair:100,발전기는 설치된 건물과 양 옆 최대 3타일의 전기를 공급합니다;실내에서 작동하면 매연이 생깁니다.
Furniture,empty,Base/Furniture/Carpentry_02_122.png,rainCollectorBarrel,7.5,600,,_condition:0,빗물을 모을 수 있습니다
Furniture,radio,Base/Furniture/RadioRed.png,radio,2,50,ElectronicsScrap,needItem:battery,라디오를 틀어놓으면 건전지가 소모됩니다.
Furniture,empty,Base/Furniture/Fixtures_sinks_01_9.png,faucet,5,20,,needItem:water;needTool:PipeWrench;_condition:0,
Furniture,fridge,Base/Furniture/Appliances_refrigeration_01_0.png,fridge,40,1,,needItem:power,음식물이 상하는 속도가 1/2로 감소합니다.
Furniture,oven,Base/Furniture/Appliances_cooking_01_5.png,oven,20,1,,needItem:power,조리 가능한 음식을 요리하거나 오염된 물을 정화할 수 있습니다.
Furniture,bed,Base/Furniture/Furniture_bedding_01_9+8.png,bed,40,1,,needTool:Hammer,잠을 잘 수 있습니다
Furniture,sofa,Base/Furniture/Furniture_seating_indoor_02_20.png,sofa,7.5,1,,,잠을 잘 수 있습니다
